ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,37.279998779296875,SEK,2025-12-05,yahoo,37.279998779296875
EMBRAC-B.ST,85.48999786376953,SEK,2025-12-05,yahoo,85.48999786376953
GOMX.ST,16.0,SEK,2025-12-05,yahoo,16.0
PDX.ST,165.3000030517578,SEK,2025-12-05,yahoo,165.3000030517578
HEXA-B.ST,110.94999694824219,SEK,2025-12-05,yahoo,110.94999694824219
TRUE-B.ST,23.059999465942383,SEK,2025-12-05,yahoo,23.059999465942383
SBB-B.ST,4.176000118255615,SEK,2025-12-05,yahoo,4.176000118255615
HUBS.ST,0.007000000216066837,SEK,2025-12-05,yahoo,0.007000000216066837
GATE.ST,1.4450000524520874,SEK,2025-12-05,yahoo,1.4450000524520874
F2M.ST,0.026000000536441803,SEK,2025-12-05,yahoo,0.026000000536441803
ACWI,142.14999389648438,USD,2025-12-05,yahoo,1338.1587679407676
