ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,42.279998779296875,SEK,2026-01-14,yahoo,42.279998779296875
EMBRAC-B.ST,51.77000045776367,SEK,2026-01-14,yahoo,51.77000045776367
GOMX.ST,20.100000381469727,SEK,2026-01-14,yahoo,20.100000381469727
PDX.ST,154.89999389648438,SEK,2026-01-14,yahoo,154.89999389648438
HEXA-B.ST,106.94999694824219,SEK,2026-01-14,yahoo,106.94999694824219
TRUE-B.ST,17.200000762939453,SEK,2026-01-14,yahoo,17.200000762939453
SBB-B.ST,4.949999809265137,SEK,2026-01-14,yahoo,4.949999809265137
GATE.ST,1.6200000047683716,SEK,2026-01-14,yahoo,1.6200000047683716
F2M.ST,0.020999999716877937,SEK,2026-01-14,yahoo,0.020999999716877937
ACWI,144.10000610351562,USD,2026-01-14,yahoo,1324.7473382347089
