ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,37.900001525878906,SEK,2025-12-19,yahoo,37.900001525878906
EMBRAC-B.ST,58.34000015258789,SEK,2025-12-19,yahoo,58.34000015258789
GOMX.ST,15.65999984741211,SEK,2025-12-19,yahoo,15.65999984741211
PDX.ST,161.0,SEK,2025-12-19,yahoo,161.0
HEXA-B.ST,107.0,SEK,2025-12-19,yahoo,107.0
TRUE-B.ST,18.579999923706055,SEK,2025-12-19,yahoo,18.579999923706055
SBB-B.ST,4.440000057220459,SEK,2025-12-19,yahoo,4.440000057220459
GATE.ST,1.5149999856948853,SEK,2025-12-19,yahoo,1.5149999856948853
F2M.ST,0.027000000700354576,SEK,2025-12-19,yahoo,0.027000000700354576
ACWI,140.92999267578125,USD,2025-12-19,yahoo,1310.453001648595
