ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,51.65999984741211,SEK,2025-10-03,yahoo,51.65999984741211
EMBRAC-B.ST,112.36000061035156,SEK,2025-10-03,yahoo,112.36000061035156
GOMX.ST,14.0,SEK,2025-10-03,yahoo,14.0
PDX.ST,175.1999969482422,SEK,2025-10-03,yahoo,175.1999969482422
HEXA-B.ST,116.05000305175781,SEK,2025-10-03,yahoo,116.05000305175781
TRUE-B.ST,40.18000030517578,SEK,2025-10-03,yahoo,40.18000030517578
SBB-B.ST,5.104000091552734,SEK,2025-10-03,yahoo,5.104000091552734
HUBS.ST,0.03500000014901161,SEK,2025-10-03,yahoo,0.03500000014901161
GATE.ST,1.6449999809265137,SEK,2025-10-03,yahoo,1.6449999809265137
F2M.ST,0.02800000086426735,SEK,2025-10-03,yahoo,0.02800000086426735
ACWI,139.98500061035156,USD,2025-10-03,yahoo,1311.0533492460527
