ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,37.560001373291016,SEK,2025-11-20,yahoo,37.560001373291016
EMBRAC-B.ST,82.79000091552734,SEK,2025-11-20,yahoo,82.79000091552734
GOMX.ST,15.100000381469727,SEK,2025-11-20,yahoo,15.100000381469727
PDX.ST,164.1999969482422,SEK,2025-11-20,yahoo,164.1999969482422
HEXA-B.ST,110.0999984741211,SEK,2025-11-20,yahoo,110.0999984741211
TRUE-B.ST,24.399999618530273,SEK,2025-11-20,yahoo,24.399999618530273
SBB-B.ST,4.017000198364258,SEK,2025-11-20,yahoo,4.017000198364258
HUBS.ST,0.013000000268220901,SEK,2025-11-20,yahoo,0.013000000268220901
GATE.ST,1.8700000047683716,SEK,2025-11-20,yahoo,1.8700000047683716
F2M.ST,0.029999999329447746,SEK,2025-11-20,yahoo,0.029999999329447746
ACWI,137.82000732421875,USD,2025-11-20,yahoo,1313.5763094509603
