ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,45.189998626708984,SEK,2025-09-16,yahoo,45.189998626708984
EMBRAC-B.ST,93.1500015258789,SEK,2025-09-16,yahoo,93.1500015258789
GOMX.ST,12.0600004196167,SEK,2025-09-16,yahoo,12.0600004196167
PDX.ST,180.6999969482422,SEK,2025-09-16,yahoo,180.6999969482422
HEXA-B.ST,109.30000305175781,SEK,2025-09-16,yahoo,109.30000305175781
TRUE-B.ST,42.29999923706055,SEK,2025-09-16,yahoo,42.29999923706055
SBB-B.ST,5.010000228881836,SEK,2025-09-16,yahoo,5.010000228881836
HUBS.ST,0.023000000044703484,SEK,2025-09-16,yahoo,0.023000000044703484
GATE.ST,1.5,SEK,2025-09-16,yahoo,1.5
F2M.ST,0.03099999949336052,SEK,2025-09-16,yahoo,0.03099999949336052
ACWI,136.9949951171875,USD,2025-09-16,yahoo,1263.1856068851193
