ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,48.209999084472656,SEK,2025-10-16,yahoo,48.209999084472656
EMBRAC-B.ST,109.4800033569336,SEK,2025-10-16,yahoo,109.4800033569336
GOMX.ST,16.68000030517578,SEK,2025-10-16,yahoo,16.68000030517578
PDX.ST,174.0,SEK,2025-10-16,yahoo,174.0
HEXA-B.ST,112.9000015258789,SEK,2025-10-16,yahoo,112.9000015258789
TRUE-B.ST,38.959999084472656,SEK,2025-10-16,yahoo,38.959999084472656
SBB-B.ST,5.610000133514404,SEK,2025-10-16,yahoo,5.610000133514404
HUBS.ST,0.03400000184774399,SEK,2025-10-16,yahoo,0.03400000184774399
GATE.ST,1.6799999475479126,SEK,2025-10-16,yahoo,1.6799999475479126
F2M.ST,0.03400000184774399,SEK,2025-10-16,yahoo,0.03400000184774399
ACWI,138.05499267578125,USD,2025-10-16,yahoo,1302.0063450235175
