ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,36.599998474121094,SEK,2025-12-09,yahoo,36.599998474121094
EMBRAC-B.ST,61.0,SEK,2025-12-09,yahoo,61.0
GOMX.ST,16.100000381469727,SEK,2025-12-09,yahoo,16.100000381469727
PDX.ST,162.89999389648438,SEK,2025-12-09,yahoo,162.89999389648438
HEXA-B.ST,108.9000015258789,SEK,2025-12-09,yahoo,108.9000015258789
TRUE-B.ST,22.540000915527344,SEK,2025-12-09,yahoo,22.540000915527344
SBB-B.ST,4.099999904632568,SEK,2025-12-09,yahoo,4.099999904632568
HUBS.ST,0.007000000216066837,SEK,2025-12-09,yahoo,0.007000000216066837
GATE.ST,1.434999942779541,SEK,2025-12-09,yahoo,1.434999942779541
F2M.ST,0.027000000700354576,SEK,2025-12-09,yahoo,0.027000000700354576
ACWI,141.9499969482422,USD,2025-12-09,yahoo,1326.5269559821172
