ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,40.849998474121094,SEK,2026-01-09,yahoo,40.849998474121094
EMBRAC-B.ST,52.47999954223633,SEK,2026-01-09,yahoo,52.47999954223633
GOMX.ST,19.780000686645508,SEK,2026-01-09,yahoo,19.780000686645508
PDX.ST,152.1999969482422,SEK,2026-01-09,yahoo,152.1999969482422
HEXA-B.ST,111.5,SEK,2026-01-09,yahoo,111.5
TRUE-B.ST,18.209999084472656,SEK,2026-01-09,yahoo,18.209999084472656
SBB-B.ST,4.979000091552734,SEK,2026-01-09,yahoo,4.979000091552734
GATE.ST,1.6200000047683716,SEK,2026-01-09,yahoo,1.6200000047683716
F2M.ST,0.020999999716877937,SEK,2026-01-09,yahoo,0.020999999716877937
ACWI,144.63499450683594,USD,2026-01-09,yahoo,1328.1917881637346
