ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,36.380001068115234,SEK,2025-12-17,yahoo,36.380001068115234
EMBRAC-B.ST,60.43000030517578,SEK,2025-12-17,yahoo,60.43000030517578
GOMX.ST,14.920000076293945,SEK,2025-12-17,yahoo,14.920000076293945
PDX.ST,161.10000610351562,SEK,2025-12-17,yahoo,161.10000610351562
HEXA-B.ST,105.5,SEK,2025-12-17,yahoo,105.5
TRUE-B.ST,19.170000076293945,SEK,2025-12-17,yahoo,19.170000076293945
SBB-B.ST,4.400000095367432,SEK,2025-12-17,yahoo,4.400000095367432
GATE.ST,1.4900000095367432,SEK,2025-12-17,yahoo,1.4900000095367432
F2M.ST,0.02500000037252903,SEK,2025-12-17,yahoo,0.02500000037252903
ACWI,139.22000122070312,USD,2025-12-17,yahoo,1294.2587700267031
