ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,38.900001525878906,SEK,2025-12-30,yahoo,38.900001525878906
EMBRAC-B.ST,60.68000030517578,SEK,2025-12-30,yahoo,60.68000030517578
GOMX.ST,16.959999084472656,SEK,2025-12-30,yahoo,16.959999084472656
PDX.ST,162.60000610351562,SEK,2025-12-30,yahoo,162.60000610351562
HEXA-B.ST,109.5,SEK,2025-12-30,yahoo,109.5
TRUE-B.ST,19.299999237060547,SEK,2025-12-30,yahoo,19.299999237060547
SBB-B.ST,4.630000114440918,SEK,2025-12-30,yahoo,4.630000114440918
GATE.ST,1.5750000476837158,SEK,2025-12-30,yahoo,1.5750000476837158
F2M.ST,0.01899999938905239,SEK,2025-12-30,yahoo,0.01899999938905239
ACWI,142.5749969482422,USD,2025-12-30,yahoo,1310.2129013949889
