ticker,close,asof_date,currency,source,close_sek
INTRUM.ST,47.13999938964844,2025-09-04,SEK,yfinance,47.13999938964844
EMBRAC-B.ST,86.81999969482422,2025-09-04,SEK,yfinance,86.81999969482422
GOMX.ST,13.079999923706055,2025-09-04,SEK,yfinance,13.079999923706055
PDX.ST,179.1999969482422,2025-09-04,SEK,yfinance,179.1999969482422
HEXA-B.ST,102.55000305175781,2025-09-04,SEK,yfinance,102.55000305175781
TRUE-B.ST,43.08000183105469,2025-09-04,SEK,yfinance,43.08000183105469
SBB-B.ST,4.611000061035156,2025-09-04,SEK,yfinance,4.611000061035156
HUBS.ST,0.039000000804662704,2025-09-04,SEK,yfinance,0.039000000804662704
GATE.ST,1.5950000286102295,2025-09-04,SEK,yfinance,1.5950000286102295
F2M.ST,0.026000000536441803,2025-09-04,SEK,yfinance,0.026000000536441803
ACWI,133.65499877929688,2025-09-04,USD,yfinance,133.65499877929688
