ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,43.41999816894531,SEK,2026-01-19,yahoo,43.41999816894531
EMBRAC-B.ST,50.2400016784668,SEK,2026-01-19,yahoo,50.2400016784668
GOMX.ST,22.450000762939453,SEK,2026-01-19,yahoo,22.450000762939453
PDX.ST,149.89999389648438,SEK,2026-01-19,yahoo,149.89999389648438
HEXA-B.ST,101.69999694824219,SEK,2026-01-19,yahoo,101.69999694824219
TRUE-B.ST,15.850000381469727,SEK,2026-01-19,yahoo,15.850000381469727
SBB-B.ST,4.867000102996826,SEK,2026-01-19,yahoo,4.867000102996826
GATE.ST,1.6549999713897705,SEK,2026-01-19,yahoo,1.6549999713897705
F2M.ST,0.01899999938905239,SEK,2026-01-19,yahoo,0.01899999938905239
ACWI,145.0,USD,2026-01-19,yahoo,1335.2919483184814
