ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,46.560001373291016,SEK,2025-10-17,yahoo,46.560001373291016
EMBRAC-B.ST,106.18000030517578,SEK,2025-10-17,yahoo,106.18000030517578
GOMX.ST,16.059999465942383,SEK,2025-10-17,yahoo,16.059999465942383
PDX.ST,171.6999969482422,SEK,2025-10-17,yahoo,171.6999969482422
HEXA-B.ST,112.25,SEK,2025-10-17,yahoo,112.25
TRUE-B.ST,38.41999816894531,SEK,2025-10-17,yahoo,38.41999816894531
SBB-B.ST,5.538000106811523,SEK,2025-10-17,yahoo,5.538000106811523
HUBS.ST,0.029999999329447746,SEK,2025-10-17,yahoo,0.029999999329447746
GATE.ST,1.7000000476837158,SEK,2025-10-17,yahoo,1.7000000476837158
F2M.ST,0.029999999329447746,SEK,2025-10-17,yahoo,0.029999999329447746
ACWI,138.28500366210938,USD,2025-10-17,yahoo,1302.7400934605103
