ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,38.119998931884766,SEK,2025-12-22,yahoo,38.119998931884766
EMBRAC-B.ST,59.47999954223633,SEK,2025-12-22,yahoo,59.47999954223633
GOMX.ST,15.380000114440918,SEK,2025-12-22,yahoo,15.380000114440918
PDX.ST,160.60000610351562,SEK,2025-12-22,yahoo,160.60000610351562
HEXA-B.ST,107.4000015258789,SEK,2025-12-22,yahoo,107.4000015258789
TRUE-B.ST,19.15999984741211,SEK,2025-12-22,yahoo,19.15999984741211
SBB-B.ST,4.480000019073486,SEK,2025-12-22,yahoo,4.480000019073486
GATE.ST,1.5,SEK,2025-12-22,yahoo,1.5
F2M.ST,0.026000000536441803,SEK,2025-12-22,yahoo,0.026000000536441803
ACWI,141.6999969482422,USD,2025-12-22,yahoo,1308.1205024326482
