ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,39.349998474121094,SEK,2026-01-08,yahoo,39.349998474121094
EMBRAC-B.ST,57.33000183105469,SEK,2026-01-08,yahoo,57.33000183105469
GOMX.ST,19.15999984741211,SEK,2026-01-08,yahoo,19.15999984741211
PDX.ST,155.60000610351562,SEK,2026-01-08,yahoo,155.60000610351562
HEXA-B.ST,107.9000015258789,SEK,2026-01-08,yahoo,107.9000015258789
TRUE-B.ST,17.899999618530273,SEK,2026-01-08,yahoo,17.899999618530273
SBB-B.ST,4.75,SEK,2026-01-08,yahoo,4.75
GATE.ST,1.6549999713897705,SEK,2026-01-08,yahoo,1.6549999713897705
F2M.ST,0.020999999716877937,SEK,2026-01-08,yahoo,0.020999999716877937
ACWI,143.75,USD,2026-01-08,yahoo,1326.375526189804
