ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,48.7400016784668,SEK,2025-09-05,yahoo,48.7400016784668
EMBRAC-B.ST,87.87999725341797,SEK,2025-09-05,yahoo,87.87999725341797
GOMX.ST,13.960000038146973,SEK,2025-09-05,yahoo,13.960000038146973
PDX.ST,180.3000030517578,SEK,2025-09-05,yahoo,180.3000030517578
HEXA-B.ST,110.0999984741211,SEK,2025-09-05,yahoo,110.0999984741211
TRUE-B.ST,45.41999816894531,SEK,2025-09-05,yahoo,45.41999816894531
SBB-B.ST,4.739999771118164,SEK,2025-09-05,yahoo,4.739999771118164
HUBS.ST,0.035999998450279236,SEK,2025-09-05,yahoo,0.035999998450279236
GATE.ST,1.5,SEK,2025-09-05,yahoo,1.5
F2M.ST,0.026000000536441803,SEK,2025-09-05,yahoo,0.026000000536441803
ACWI,133.85000610351562,USD,2025-09-05,yahoo,1252.650026126008
