ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,36.189998626708984,SEK,2025-12-10,yahoo,36.189998626708984
EMBRAC-B.ST,60.650001525878906,SEK,2025-12-10,yahoo,60.650001525878906
GOMX.ST,15.739999771118164,SEK,2025-12-10,yahoo,15.739999771118164
PDX.ST,160.10000610351562,SEK,2025-12-10,yahoo,160.10000610351562
HEXA-B.ST,108.8499984741211,SEK,2025-12-10,yahoo,108.8499984741211
TRUE-B.ST,22.780000686645508,SEK,2025-12-10,yahoo,22.780000686645508
SBB-B.ST,4.206999778747559,SEK,2025-12-10,yahoo,4.206999778747559
HUBS.ST,0.007000000216066837,SEK,2025-12-10,yahoo,0.007000000216066837
GATE.ST,1.5,SEK,2025-12-10,yahoo,1.5
F2M.ST,0.028999999165534973,SEK,2025-12-10,yahoo,0.028999999165534973
ACWI,141.86000061035156,USD,2025-12-10,yahoo,1320.848571242328
