ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,47.150001525878906,SEK,2025-10-20,yahoo,47.150001525878906
EMBRAC-B.ST,106.66000366210938,SEK,2025-10-20,yahoo,106.66000366210938
GOMX.ST,17.719999313354492,SEK,2025-10-20,yahoo,17.719999313354492
PDX.ST,170.0,SEK,2025-10-20,yahoo,170.0
HEXA-B.ST,113.75,SEK,2025-10-20,yahoo,113.75
TRUE-B.ST,38.939998626708984,SEK,2025-10-20,yahoo,38.939998626708984
SBB-B.ST,5.630000114440918,SEK,2025-10-20,yahoo,5.630000114440918
HUBS.ST,0.032999999821186066,SEK,2025-10-20,yahoo,0.032999999821186066
GATE.ST,1.7000000476837158,SEK,2025-10-20,yahoo,1.7000000476837158
F2M.ST,0.03200000151991844,SEK,2025-10-20,yahoo,0.03200000151991844
ACWI,139.9499969482422,USD,2025-10-20,yahoo,1316.7419291899569
