ticker,close,currency,asof_date,source,close_sek
INTRUM.ST,39.459999084472656,SEK,2026-01-05,yahoo,39.459999084472656
EMBRAC-B.ST,57.22999954223633,SEK,2026-01-05,yahoo,57.22999954223633
GOMX.ST,18.059999465942383,SEK,2026-01-05,yahoo,18.059999465942383
PDX.ST,156.3000030517578,SEK,2026-01-05,yahoo,156.3000030517578
HEXA-B.ST,106.5,SEK,2026-01-05,yahoo,106.5
TRUE-B.ST,17.969999313354492,SEK,2026-01-05,yahoo,17.969999313354492
SBB-B.ST,4.7170000076293945,SEK,2026-01-05,yahoo,4.7170000076293945
GATE.ST,1.5800000429153442,SEK,2026-01-05,yahoo,1.5800000429153442
F2M.ST,0.020999999716877937,SEK,2026-01-05,yahoo,0.020999999716877937
ACWI,143.77000427246094,USD,2026-01-05,yahoo,1320.620921317779
